Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,Attrition,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
38,1.0,138,2,2,4,95,2,2,3280,7288,8,12,3,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
48,1.0,1287,2,2,2,81,2,2,2387,4759,2,11,3,1,17,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
26,1.0,884,1,2,4,62,3,3,3102,4284,6,16,4,0,6,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
39,2.0,640,25,4,1,81,3,3,4449,6194,1,21,3,0,20,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
33,1.0,894,11,2,3,83,3,3,2539,16192,8,12,4,1,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
52,1.0,607,2,4,2,56,3,3,7441,21143,7,13,4,0,28,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
42,1.0,1495,9,4,4,87,3,1,17169,3449,0,14,4,0,21,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25,0.0,1092,1,1,4,96,3,4,4374,17000,1,17,1,0,5,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
30,1.0,1392,7,4,2,77,4,2,2413,26314,1,18,3,1,10,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
50,1.0,1082,2,5,3,60,4,1,2436,17198,7,19,3,1,8,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
51,1.0,1107,2,3,1,59,3,3,19943,19982,3,12,4,0,33,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
43,1.0,530,2,3,4,51,3,3,3312,22474,3,13,4,0,18,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,2.0,746,18,3,2,62,4,2,4373,11512,1,17,4,0,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
29,1.0,1005,3,1,2,86,2,2,4834,9129,5,24,3,0,10,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
35,2.0,796,10,4,2,37,2,3,16015,24619,1,14,4,1,2,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
29,1.0,228,7,1,1,76,3,4,5296,25761,1,13,4,1,10,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,1.0,1358,18,1,3,82,3,3,2389,14229,3,11,2,1,8,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
24,1.0,959,10,3,4,62,3,4,9396,7246,1,12,1,1,1,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
41,1.0,1276,10,4,2,95,3,3,6142,5174,2,12,1,1,12,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
34,2.0,1349,6,3,3,75,3,2,4490,3449,0,18,2,1,10,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35,1.0,154,10,4,1,54,3,4,5228,23848,0,15,3,0,10,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
47,2.0,1277,1,4,3,82,1,2,5562,25440,9,11,4,1,15,5,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
31,1.0,979,28,4,1,95,2,3,5745,12368,1,13,4,2,10,3,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56,1.0,300,3,4,3,73,2,2,3780,4257,3,12,3,2,5,3,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
38,0.0,555,7,3,3,48,3,2,9985,9262,0,13,2,1,10,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,1.0,874,2,3,3,52,2,4,3780,5598,1,11,3,1,11,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
33,1.0,1443,1,3,3,71,2,2,6949,16530,1,14,2,0,13,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
42,2.0,933,1,4,2,71,4,4,19033,8059,9,14,1,1,24,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
27,1.0,833,8,3,4,78,2,3,2398,17231,1,22,3,1,1,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
52,1.0,1107,8,4,4,48,3,2,12965,17491,2,13,3,1,24,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
36,1.0,1001,8,4,3,79,3,4,2018,25174,7,11,3,2,15,4,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
31,1.0,469,1,3,1,56,1,3,2853,22245,4,22,1,1,4,2,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
44,1.0,796,10,4,2,70,3,2,2795,11162,1,14,2,0,16,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28,2.0,1217,17,1,2,72,3,3,5744,22490,3,12,3,1,6,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
46,1.0,301,14,3,3,100,3,1,10932,17491,7,14,2,1,16,5,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,1.0,119,17,3,2,93,3,4,12169,8770,1,18,4,3,10,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
18,1.0,1469,3,3,1,90,1,4,1611,9148,1,19,2,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,0.0,994,1,3,4,86,3,1,9714,7259,0,12,3,0,6,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
41,1.0,932,7,4,1,54,2,4,2836,8891,1,15,4,1,10,6,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
36,1.0,809,25,3,4,96,3,3,4787,9192,5,18,4,1,10,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45,1.0,1179,9,2,4,64,3,1,8321,16090,3,14,4,1,9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,1.0,1434,2,3,1,97,3,1,3057,20763,3,12,2,2,4,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,1.0,869,1,4,2,40,3,4,2132,19944,3,12,2,0,9,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
34,1.0,1198,2,3,3,96,2,3,2468,13137,9,18,3,0,6,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
37,1.0,1427,1,4,2,48,3,4,3441,21643,9,15,3,0,9,2,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
44,1.0,1383,1,4,3,54,3,4,4724,11103,1,14,1,1,10,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2.0,528,4,3,1,84,3,1,2683,2851,1,14,1,1,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,2.0,1082,7,3,3,46,3,3,2379,20308,5,11,2,0,6,3,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
38,1.0,548,4,4,3,75,3,3,2544,23398,4,16,4,1,12,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
27,1.0,1097,16,4,4,82,3,4,2362,8828,1,14,2,1,6,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
39,1.0,1413,3,3,4,78,3,3,13194,15276,3,17,1,2,18,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,1.0,322,6,2,4,38,3,3,5605,16495,4,14,3,1,13,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
50,1.0,319,15,2,4,46,3,3,19161,14977,5,11,3,1,23,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
29,1.0,1401,3,4,3,52,3,2,4787,16225,1,19,1,2,10,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
29,1.0,477,24,2,1,33,2,1,2496,9679,1,14,1,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,1.0,999,10,3,3,96,3,2,19436,15896,3,11,4,0,21,6,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
33,1.0,1223,2,4,3,72,3,1,5507,5518,0,14,1,1,6,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,1.0,769,23,3,4,95,4,3,4422,5456,1,17,3,2,13,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
49,2.0,1339,18,3,3,53,3,4,10725,12477,0,11,4,3,20,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,1.0,523,10,3,1,58,3,3,6162,16495,1,18,2,0,8,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
26,2.0,1277,2,2,3,80,2,3,3875,25265,0,15,1,0,6,5,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
33,1.0,1003,15,2,1,98,3,3,4448,10842,1,12,3,0,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,1.0,1018,3,3,4,95,4,4,17099,7790,2,17,3,0,26,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,1.0,672,10,4,2,73,3,3,19626,17312,1,12,1,1,21,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
54,1.0,933,4,2,3,87,3,4,19513,11806,7,17,4,0,32,2,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
34,1.0,1099,10,4,1,64,3,4,5346,11873,1,14,2,0,9,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
34,1.0,1082,6,4,3,82,3,4,7637,2373,9,11,3,0,10,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
35,2.0,1396,11,1,1,37,1,4,13348,19757,1,14,3,0,33,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
43,0.0,465,2,2,4,65,2,3,6220,14074,1,12,3,2,10,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,1.0,1333,24,3,2,59,2,3,2564,9100,1,23,4,1,1,2,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
35,1.0,604,7,4,2,96,3,3,5309,6161,1,16,3,0,17,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
33,1.0,1206,10,1,2,89,3,3,2559,16374,1,19,1,0,1,5,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
26,1.0,640,9,1,1,73,3,1,3989,20364,1,19,1,1,8,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,1.0,1313,9,2,4,92,3,4,2585,7160,1,15,3,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,1.0,1275,15,3,3,48,3,3,6384,21143,8,14,4,0,9,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
43,1.0,653,18,3,3,86,3,3,5253,4605,8,14,1,1,10,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
49,1.0,1219,1,3,2,96,3,3,4171,4223,2,15,3,1,19,3,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
24,1.0,1336,23,1,3,50,3,4,2693,8269,9,12,2,0,6,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
27,1.0,959,2,2,4,89,3,3,1232,26999,1,19,3,0,0,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
29,1.0,144,20,4,3,90,3,3,3944,12828,1,11,4,1,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,1.0,1137,8,4,4,60,3,2,19202,20431,2,11,2,1,21,4,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
42,1.0,1063,23,4,4,79,2,2,16064,3140,2,13,3,1,22,2,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,1.0,1403,4,3,4,66,4,2,1569,16379,5,14,1,1,7,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
27,1.0,942,6,4,3,82,2,3,2514,11012,1,12,2,3,5,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
53,1.0,723,24,3,1,66,2,4,17856,20338,1,11,1,1,31,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,1.0,571,23,4,3,48,3,3,6540,15232,2,11,3,1,11,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
32,1.0,442,17,3,4,79,3,3,10673,26250,0,22,2,0,14,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
36,1.0,1495,1,3,4,43,2,2,5163,23177,6,16,4,0,17,2,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
26,1.0,959,2,3,2,59,2,1,2942,16225,1,13,3,0,5,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
28,1.0,1303,2,4,3,30,4,3,4301,9150,1,16,1,1,5,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34,1.0,1450,1,4,4,43,2,4,2132,22021,0,15,4,0,6,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
23,2.0,857,1,1,1,61,2,4,6146,26236,1,12,4,2,8,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
31,1.0,807,7,3,1,71,3,3,9278,2354,7,23,2,1,10,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
47,1.0,682,1,4,3,84,2,3,2782,5602,0,14,1,1,6,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
33,1.0,790,9,4,4,51,4,3,2013,2125,1,12,4,2,15,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
37,1.0,1332,11,2,1,50,4,2,5906,9490,3,11,4,2,6,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
31,2.0,672,6,4,1,86,1,3,2519,6161,0,16,1,0,4,3,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41,1.0,1168,2,2,4,42,4,2,16659,16225,4,14,4,1,22,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
33,1.0,1450,12,3,1,92,2,1,1569,25440,2,22,1,0,16,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
37,1.0,598,2,3,4,40,3,2,3072,20460,5,13,2,1,8,6,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
37,1.0,1142,9,1,4,46,3,4,10502,4658,2,12,1,0,15,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29,1.0,920,29,2,4,43,2,2,5813,22149,1,24,1,1,10,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
48,1.0,691,8,2,4,40,3,3,3838,22021,4,15,1,0,17,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
27,1.0,882,17,3,2,87,2,2,5228,5033,0,14,4,1,14,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,1.0,895,23,2,2,95,3,1,3491,12106,1,13,4,1,3,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
45,1.0,464,16,3,2,50,3,3,17046,12392,6,16,4,0,22,2,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
59,1.0,884,9,3,3,54,3,3,18041,17519,6,11,3,0,27,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,1.0,658,12,3,3,87,2,4,7412,23474,3,11,3,0,15,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,1.0,954,14,4,1,95,3,4,5324,14255,9,12,3,0,6,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
22,1.0,715,5,3,4,95,2,3,2394,25751,1,13,4,2,4,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
45,1.0,853,6,2,1,91,3,2,10169,18611,0,13,2,1,24,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,1.0,1136,2,3,3,82,3,4,6434,11677,2,14,3,1,17,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2.0,1283,7,3,2,44,4,2,6377,6865,2,14,3,2,14,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
35,1.0,1495,8,2,4,82,3,4,9713,22553,1,11,3,2,10,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27,1.0,1448,1,4,4,46,4,3,6883,19271,1,14,2,1,7,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
41,1.0,804,2,3,3,74,3,3,8726,23474,4,13,2,0,10,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
23,1.0,546,4,1,1,100,3,4,2500,18767,3,13,3,0,3,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
40,0.0,775,6,4,2,63,3,1,6755,23293,3,15,4,1,12,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46,1.0,1319,1,3,1,68,1,1,18711,13934,7,11,2,3,27,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
32,1.0,1146,26,4,4,32,3,4,8998,22162,1,22,4,1,9,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,1.0,359,8,4,1,82,3,3,2835,20990,6,17,3,2,7,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
41,1.0,1206,5,2,2,83,3,1,11836,23683,6,17,4,0,12,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
38,1.0,383,29,4,3,72,3,3,6652,14369,9,12,1,0,8,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
45,1.0,821,9,1,3,64,2,4,2176,8509,9,13,4,0,10,5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
51,1.0,1323,7,4,2,73,3,3,13582,17381,1,20,2,1,16,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
31,1.0,543,15,4,2,42,2,3,5151,22021,1,14,1,0,10,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
38,1.0,1288,2,4,3,76,4,1,13964,16053,3,14,3,2,30,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1.0,1479,4,2,4,61,2,4,7847,13982,1,11,1,1,7,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
38,1.0,350,6,1,4,58,1,1,2335,24795,3,14,1,3,7,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
31,1.0,603,3,2,3,39,3,2,2174,9100,1,18,3,1,1,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
29,2.0,835,19,3,1,44,1,4,3162,7790,8,24,4,1,9,2,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
34,1.0,489,2,3,3,75,3,4,6694,22670,2,13,2,1,10,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1.0,750,3,2,1,82,3,4,5373,8018,2,14,4,1,15,6,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
32,1.0,462,10,4,3,71,2,4,6334,3010,3,23,2,1,10,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,1.0,426,19,5,4,79,3,3,4647,10332,1,17,1,1,10,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,1.0,688,6,3,2,46,3,2,6694,24447,4,18,3,1,9,2,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
42,1.0,442,1,4,1,72,2,4,7441,15596,2,23,3,1,10,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
34,1.0,466,23,4,4,100,3,3,2235,19124,3,14,1,0,14,3,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
35,1.0,1311,24,3,3,87,3,3,2515,10007,6,22,4,1,15,0,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
39,1.0,1377,2,3,2,88,3,4,5257,5561,2,13,1,1,19,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
26,1.0,991,16,1,4,71,3,2,2973,9238,1,19,3,1,1,3,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
31,1.0,713,10,2,2,71,2,3,6397,18798,1,14,2,1,5,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,2.0,1211,11,2,4,66,1,3,3419,4668,0,15,2,1,6,5,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,1.0,304,10,3,4,32,3,2,5207,9096,1,13,2,0,5,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36,1.0,1362,9,1,2,45,3,3,5377,16292,0,12,3,0,8,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
29,2.0,300,8,2,1,66,3,2,3180,21643,6,13,4,1,4,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
36,1.0,783,9,4,2,62,2,3,3375,18899,4,12,4,1,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0.0,575,3,3,4,37,3,4,2684,22154,0,14,4,0,2,4,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
42,1.0,641,1,2,2,72,3,3,6811,23683,4,19,4,1,10,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
26,1.0,1469,26,3,4,59,3,4,2936,26278,1,14,1,0,6,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
47,2.0,689,24,4,2,41,4,3,4668,22822,7,12,1,1,15,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
27,2.0,1302,2,2,2,62,3,2,4240,19121,1,16,2,1,8,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,1.0,1479,16,4,3,73,3,1,5396,4156,4,17,3,2,9,2,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
43,1.0,136,3,2,3,63,3,1,4404,10228,5,21,1,1,7,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,1.0,602,9,2,3,69,2,4,2911,22475,4,19,4,1,8,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
55,2.0,1377,19,2,1,58,3,4,19038,7693,3,11,4,0,37,4,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
46,1.0,207,2,4,4,97,3,3,18606,24208,3,11,2,1,26,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0.0,632,28,2,1,65,3,4,7441,14862,4,21,4,0,18,2,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
30,1.0,652,10,3,4,43,4,1,5470,26236,1,17,2,1,12,6,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
29,2.0,887,3,3,4,78,3,4,4724,11693,0,18,3,1,10,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20,1.0,1308,1,3,4,87,3,2,2934,16031,1,21,2,0,5,3,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38,1.0,852,9,4,3,56,3,3,7143,26075,4,11,2,1,8,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
